City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
90,Honiara,-9.4333,159.95,80.96,84,92,2.66,SB,2022-04-23 06:41:45,light rain
91,Batagay-Alyta,67.8006,130.4114,20.89,85,100,6.46,RU,2022-04-23 06:41:46,overcast clouds
92,Hobart,-42.8794,147.3294,64.26,54,75,9.22,AU,2022-04-23 06:40:19,broken clouds
93,Cherskiy,68.75,161.3,24.22,90,94,3.96,RU,2022-04-23 06:41:46,overcast clouds
94,Luxor,25.6989,32.6421,75.25,31,0,6.91,EG,2022-04-23 06:41:47,clear sky
95,Longyearbyen,78.2186,15.6401,17.44,79,20,6.91,SJ,2022-04-23 06:42:47,few clouds
96,Isangel,-19.55,169.2667,77.41,71,47,10.45,VU,2022-04-23 06:42:47,scattered clouds
97,Venado Tuerto,-33.7456,-61.9688,52.77,52,0,6.55,AR,2022-04-23 06:42:48,clear sky
98,Arraial Do Cabo,-22.9661,-42.0278,73.9,86,0,12.57,BR,2022-04-23 06:42:48,clear sky
99,Sobolevo,54.4299,31.8996,50.25,73,100,12.08,RU,2022-04-23 06:39:05,overcast clouds
100,Kapaa,22.0752,-159.319,76.98,86,40,18.41,US,2022-04-23 06:42:39,scattered clouds
101,Torrijos,39.9819,-4.2835,48.07,87,100,21.65,ES,2022-04-23 06:42:49,overcast clouds
102,Bonavista,48.6499,-53.1147,34.29,78,100,12.86,CA,2022-04-23 06:42:49,overcast clouds
103,Port Alfred,-33.5906,26.891,59.18,97,100,1.01,ZA,2022-04-23 06:42:50,light rain
104,Pisco,-13.7,-76.2167,64.45,88,40,2.3,PE,2022-04-23 06:42:50,mist
105,Bilma,18.6853,12.9164,90.14,12,12,6.38,NE,2022-04-23 06:42:51,few clouds
106,Contamana,-7.3333,-75.0167,71.94,93,23,2.57,PE,2022-04-23 06:42:51,few clouds
107,Flinders,-34.5833,150.8552,70.18,73,43,5.99,AU,2022-04-23 06:39:07,light rain
108,Rawson,-43.3002,-65.1023,61.36,47,100,25.66,AR,2022-04-23 06:40:49,overcast clouds
109,Whitehorse,60.7161,-135.0538,38.01,59,75,8.05,CA,2022-04-23 06:42:52,broken clouds
110,Lompoc,34.6391,-120.4579,51.69,83,0,18.99,US,2022-04-23 06:42:52,clear sky
111,Atuona,-9.8,-139.0333,79.2,75,6,15.86,PF,2022-04-23 06:42:53,clear sky
112,Kant,27.8,79.8,105.33,8,0,13.67,IN,2022-04-23 06:42:53,clear sky
113,Tuktoyaktuk,69.4541,-133.0374,20.41,89,91,18.57,CA,2022-04-23 06:42:53,overcast clouds
114,Karaton,-6.3424,106.1045,85.78,70,58,4.7,ID,2022-04-23 06:42:54,broken clouds
115,Karratha,-20.7377,116.8463,94.3,22,0,7.67,AU,2022-04-23 06:38:12,clear sky
116,Leshukonskoye,64.8989,45.7622,33.8,100,100,4.83,RU,2022-04-23 06:42:55,light snow
117,Saskylakh,71.9167,114.0833,9.43,89,100,4.81,RU,2022-04-23 06:42:55,overcast clouds
118,Ternate,0.8,127.4,79.9,85,100,7.9,ID,2022-04-23 06:42:34,overcast clouds
119,Yellowknife,62.456,-114.3525,23.56,68,20,12.66,CA,2022-04-23 06:37:57,few clouds
120,Kahului,20.8947,-156.47,75.22,73,0,18.41,US,2022-04-23 06:42:56,clear sky
121,Coquimbo,-29.9533,-71.3436,55.13,100,100,4.61,CL,2022-04-23 06:42:56,mist
122,Bambous Virieux,-20.3428,57.7575,81.21,61,40,14.97,MU,2022-04-23 06:42:56,scattered clouds
123,Kruisfontein,-34.0033,24.7314,56.88,87,100,3.4,ZA,2022-04-23 06:42:57,overcast clouds
124,Aksha,50.2814,113.2867,43.95,56,100,7.52,RU,2022-04-23 06:42:57,overcast clouds
125,Te Anau,-45.4167,167.7167,52.54,89,100,8.25,NZ,2022-04-23 06:42:58,overcast clouds
126,Codrington,-38.2667,141.9667,59.61,66,0,12.91,AU,2022-04-23 06:42:58,clear sky
127,Sao Joao Da Barra,-21.6403,-41.0511,73.27,79,6,7.72,BR,2022-04-23 06:42:58,clear sky
128,Guerrero Negro,27.9769,-114.0611,58.53,73,0,20.07,MX,2022-04-23 06:42:59,clear sky
129,Talcahuano,-36.7167,-73.1167,55.08,94,100,10.36,CL,2022-04-23 06:42:59,mist
130,Nikolskoye,59.7035,30.7861,43.92,65,99,6.93,RU,2022-04-23 06:43:00,overcast clouds
131,Cidreira,-30.1811,-50.2056,65.3,88,100,13.78,BR,2022-04-23 06:43:00,light rain
